raceId,driverId,lap,position,milliseconds,races_year,races_round,races_name,races_date,driver_code,driver_forename,driver_surname,driver_dob,driver_nationality,circuit_name,circuit_country
969,1,1,1,94404,2017,1,Australian Grand Prix,26/03/17,HAM,Lewis,Hamilton,1985-01-07,British,Albert Park Grand Prix Circuit,Australia
969,1,2,1,89638,2017,1,Australian Grand Prix,26/03/17,HAM,Lewis,Hamilton,1985-01-07,British,Albert Park Grand Prix Circuit,Australia
969,1,3,1,89119,2017,1,Australian Grand Prix,26/03/17,HAM,Lewis,Hamilton,1985-01-07,British,Albert Park Grand Prix Circuit,Australia
969,1,4,1,89044,2017,1,Australian Grand Prix,26/03/17,HAM,Lewis,Hamilton,1985-01-07,British,Albert Park Grand Prix Circuit,Australia
969,1,5,1,88786,2017,1,Australian Grand Prix,26/03/17,HAM,Lewis,Hamilton,1985-01-07,British,Albert Park Grand Prix Circuit,Australia
969,1,6,1,88919,2017,1,Australian Grand Prix,26/03/17,HAM,Lewis,Hamilton,1985-01-07,British,Albert Park Grand Prix Circuit,Australia
969,1,7,1,88797,2017,1,Australian Grand Prix,26/03/17,HAM,Lewis,Hamilton,1985-01-07,British,Albert Park Grand Prix Circuit,Australia
969,1,8,1,88379,2017,1,Australian Grand Prix,26/03/17,HAM,Lewis,Hamilton,1985-01-07,British,Albert Park Grand Prix Circuit,Australia
969,1,9,1,88391,2017,1,Australian Grand Prix,26/03/17,HAM,Lewis,Hamilton,1985-01-07,British,Albert Park Grand Prix Circuit,Australia
969,1,10,1,88326,2017,1,Australian Grand Prix,26/03/17,HAM,Lewis,Hamilton,1985-01-07,British,Albert Park Grand Prix Circuit,Australia
969,1,11,1,88464,2017,1,Australian Grand Prix,26/03/17,HAM,Lewis,Hamilton,1985-01-07,British,Albert Park Grand Prix Circuit,Australia
969,1,12,1,88424,2017,1,Australian Grand Prix,26/03/17,HAM,Lewis,Hamilton,1985-01-07,British,Albert Park Grand Prix Circuit,Australia
969,1,13,1,88117,2017,1,Australian Grand Prix,26/03/17,HAM,Lewis,Hamilton,1985-01-07,British,Albert Park Grand Prix Circuit,Australia
969,1,14,1,89037,2017,1,Australian Grand Prix,26/03/17,HAM,Lewis,Hamilton,1985-01-07,British,Albert Park Grand Prix Circuit,Australia
969,1,15,1,88494,2017,1,Australian Grand Prix,26/03/17,HAM,Lewis,Hamilton,1985-01-07,British,Albert Park Grand Prix Circuit,Australia
969,1,16,1,88438,2017,1,Australian Grand Prix,26/03/17,HAM,Lewis,Hamilton,1985-01-07,British,Albert Park Grand Prix Circuit,Australia
969,1,17,4,106345,2017,1,Australian Grand Prix,26/03/17,HAM,Lewis,Hamilton,1985-01-07,British,Albert Park Grand Prix Circuit,Australia
969,1,18,5,93568,2017,1,Australian Grand Prix,26/03/17,HAM,Lewis,Hamilton,1985-01-07,British,Albert Park Grand Prix Circuit,Australia
969,1,19,5,87551,2017,1,Australian Grand Prix,26/03/17,HAM,Lewis,Hamilton,1985-01-07,British,Albert Park Grand Prix Circuit,Australia
969,1,20,5,88473,2017,1,Australian Grand Prix,26/03/17,HAM,Lewis,Hamilton,1985-01-07,British,Albert Park Grand Prix Circuit,Australia
969,1,21,5,88981,2017,1,Australian Grand Prix,26/03/17,HAM,Lewis,Hamilton,1985-01-07,British,Albert Park Grand Prix Circuit,Australia
969,1,22,5,89879,2017,1,Australian Grand Prix,26/03/17,HAM,Lewis,Hamilton,1985-01-07,British,Albert Park Grand Prix Circuit,Australia
969,1,23,5,89457,2017,1,Australian Grand Prix,26/03/17,HAM,Lewis,Hamilton,1985-01-07,British,Albert Park Grand Prix Circuit,Australia
969,1,24,5,91474,2017,1,Australian Grand Prix,26/03/17,HAM,Lewis,Hamilton,1985-01-07,British,Albert Park Grand Prix Circuit,Australia
969,1,25,3,90306,2017,1,Australian Grand Prix,26/03/17,HAM,Lewis,Hamilton,1985-01-07,British,Albert Park Grand Prix Circuit,Australia
969,1,26,2,87952,2017,1,Australian Grand Prix,26/03/17,HAM,Lewis,Hamilton,1985-01-07,British,Albert Park Grand Prix Circuit,Australia
969,1,27,2,87834,2017,1,Australian Grand Prix,26/03/17,HAM,Lewis,Hamilton,1985-01-07,British,Albert Park Grand Prix Circuit,Australia
969,1,28,2,87846,2017,1,Australian Grand Prix,26/03/17,HAM,Lewis,Hamilton,1985-01-07,British,Albert Park Grand Prix Circuit,Australia
969,1,29,2,87813,2017,1,Australian Grand Prix,26/03/17,HAM,Lewis,Hamilton,1985-01-07,British,Albert Park Grand Prix Circuit,Australia
969,1,30,2,88532,2017,1,Australian Grand Prix,26/03/17,HAM,Lewis,Hamilton,1985-01-07,British,Albert Park Grand Prix Circuit,Australia
969,1,31,2,88267,2017,1,Australian Grand Prix,26/03/17,HAM,Lewis,Hamilton,1985-01-07,British,Albert Park Grand Prix Circuit,Australia
969,1,32,2,87711,2017,1,Australian Grand Prix,26/03/17,HAM,Lewis,Hamilton,1985-01-07,British,Albert Park Grand Prix Circuit,Australia
969,1,33,2,87548,2017,1,Australian Grand Prix,26/03/17,HAM,Lewis,Hamilton,1985-01-07,British,Albert Park Grand Prix Circuit,Australia
969,1,34,2,88974,2017,1,Australian Grand Prix,26/03/17,HAM,Lewis,Hamilton,1985-01-07,British,Albert Park Grand Prix Circuit,Australia
