duration,stop,year,round,name,code
21.709,1,2017,1,Australian Grand Prix,HAM
21.988,1,2017,1,Australian Grand Prix,VET
22.906,1,2017,2,Chinese Grand Prix,VET
22.999,1,2017,2,Chinese Grand Prix,HAM
17.354,2,2017,2,Chinese Grand Prix,VET
17.616,2,2017,2,Chinese Grand Prix,HAM
17.362,3,2017,2,Chinese Grand Prix,VET
17.737,3,2017,2,Chinese Grand Prix,HAM
17.37,4,2017,2,Chinese Grand Prix,VET
22.443,5,2017,2,Chinese Grand Prix,VET
22.668,4,2017,2,Chinese Grand Prix,HAM
24.702,1,2017,3,Bahrain Grand Prix,VET
30.687,1,2017,3,Bahrain Grand Prix,HAM
24.314,2,2017,3,Bahrain Grand Prix,VET
30.682,2,2017,3,Bahrain Grand Prix,HAM
29.739,1,2017,4,Russian Grand Prix,HAM
30.097,1,2017,4,Russian Grand Prix,VET
22.499,1,2017,5,Spanish Grand Prix,VET
21.544,1,2017,5,Spanish Grand Prix,HAM
21.722,2,2017,5,Spanish Grand Prix,HAM
22.307,2,2017,5,Spanish Grand Prix,VET
24.306,1,2017,6,Monaco Grand Prix,VET
24.155,1,2017,6,Monaco Grand Prix,HAM
31.596,1,2017,7,Canadian Grand Prix,VET
23.061,1,2017,7,Canadian Grand Prix,HAM
23.345,2,2017,7,Canadian Grand Prix,VET
20.418,1,2017,8,Azerbaijan Grand Prix,HAM
20.059,1,2017,8,Azerbaijan Grand Prix,VET
15.234,2,2017,8,Azerbaijan Grand Prix,HAM
15.174,2,2017,8,Azerbaijan Grand Prix,VET
21:50.768,3,2017,8,Azerbaijan Grand Prix,HAM
21:50.808,3,2017,8,Azerbaijan Grand Prix,VET
27.025,4,2017,8,Azerbaijan Grand Prix,HAM
29.317,4,2017,8,Azerbaijan Grand Prix,VET
20.761,1,2017,9,Austrian Grand Prix,HAM
21.75,1,2017,9,Austrian Grand Prix,VET
28.363,1,2017,10,British Grand Prix,VET
27.733,1,2017,10,British Grand Prix,HAM
35.204,2,2017,10,British Grand Prix,VET
21.338,1,2017,11,Hungarian Grand Prix,HAM
22.317,1,2017,11,Hungarian Grand Prix,VET
22.037,1,2017,12,Belgian Grand Prix,HAM
22.443,1,2017,12,Belgian Grand Prix,VET
22.357,2,2017,12,Belgian Grand Prix,HAM
25.65,2,2017,12,Belgian Grand Prix,VET
24.307,1,2017,13,Italian Grand Prix,VET
23.725,1,2017,13,Italian Grand Prix,HAM
30.442,1,2017,14,Singapore Grand Prix,HAM
24.368,2,2017,14,Singapore Grand Prix,HAM
24.337,3,2017,14,Singapore Grand Prix,HAM
28.466,4,2017,14,Singapore Grand Prix,HAM
23.489,1,2017,15,Malaysian Grand Prix,HAM
23.695,1,2017,15,Malaysian Grand Prix,VET
22.724,1,2017,16,Japanese Grand Prix,HAM
24.3,1,2017,17,United States Grand Prix,VET
23.402,1,2017,17,United States Grand Prix,HAM
23.62,2,2017,17,United States Grand Prix,VET
32.037,1,2017,18,Mexican Grand Prix,VET
29.283,1,2017,18,Mexican Grand Prix,HAM
23.315,2,2017,18,Mexican Grand Prix,HAM
22.379,2,2017,18,Mexican Grand Prix,VET
19.097,1,2017,19,Brazilian Grand Prix,VET
19.377,1,2017,19,Brazilian Grand Prix,HAM
17.817,2,2017,19,Brazilian Grand Prix,VET
19.237,2,2017,19,Brazilian Grand Prix,HAM
17.842,3,2017,19,Brazilian Grand Prix,VET
18.725,3,2017,19,Brazilian Grand Prix,HAM
22.736,4,2017,19,Brazilian Grand Prix,VET
23.121,4,2017,19,Brazilian Grand Prix,HAM
21.221,1,2017,20,Abu Dhabi Grand Prix,VET
21.274,1,2017,20,Abu Dhabi Grand Prix,HAM
21.821,1,2018,1,Australian Grand Prix,HAM
21.787,1,2018,1,Australian Grand Prix,VET
24.524,1,2018,2,Bahrain Grand Prix,VET
24.302,1,2018,2,Bahrain Grand Prix,HAM
22.464,1,2018,3,Chinese Grand Prix,HAM
23.009,1,2018,3,Chinese Grand Prix,VET
20.377,1,2018,4,Azerbaijan Grand Prix,HAM
20.037,1,2018,4,Azerbaijan Grand Prix,VET
20.823,2,2018,4,Azerbaijan Grand Prix,VET
21.329,2,2018,4,Azerbaijan Grand Prix,HAM
22.054,1,2018,5,Spanish Grand Prix,VET
22.085,1,2018,5,Spanish Grand Prix,HAM
24.273,2,2018,5,Spanish Grand Prix,VET
23.739,1,2018,6,Monaco Grand Prix,HAM
23.964,1,2018,6,Monaco Grand Prix,VET
23.335,1,2018,7,Canadian Grand Prix,HAM
23.529,1,2018,7,Canadian Grand Prix,VET
32.612,1,2018,8,French Grand Prix,VET
24.31,1,2018,8,French Grand Prix,HAM
31.029,2,2018,8,French Grand Prix,VET
23.912,1,2018,9,Austrian Grand Prix,VET
21.245,1,2018,9,Austrian Grand Prix,HAM
20.98,2,2018,9,Austrian Grand Prix,HAM
28.677,1,2018,10,British Grand Prix,VET
28.982,1,2018,10,British Grand Prix,HAM
28.174,2,2018,10,British Grand Prix,VET
18.657,1,2018,11,German Grand Prix,VET
18.978,1,2018,11,German Grand Prix,HAM
21.48,1,2018,12,Hungarian Grand Prix,HAM
23.111,1,2018,12,Hungarian Grand Prix,VET
19.582,1,2018,13,Belgian Grand Prix,VET
19.372,1,2018,13,Belgian Grand Prix,HAM
22.375,2,2018,13,Belgian Grand Prix,HAM
22.253,2,2018,13,Belgian Grand Prix,VET
32.219,1,2018,14,Italian Grand Prix,VET
23.728,1,2018,14,Italian Grand Prix,HAM
24.301,2,2018,14,Italian Grand Prix,VET
28.722,1,2018,15,Singapore Grand Prix,VET
28.946,1,2018,15,Singapore Grand Prix,HAM
29.798,1,2018,16,Russian Grand Prix,VET
29.551,1,2018,16,Russian Grand Prix,HAM
22.614,1,2018,17,Japanese Grand Prix,HAM
22.748,1,2018,17,Japanese Grand Prix,VET
23.693,1,2018,18,United States Grand Prix,HAM
24.449,1,2018,18,United States Grand Prix,VET
23.915,2,2018,18,United States Grand Prix,HAM
22.269,1,2018,19,Mexican Grand Prix,HAM
22.658,1,2018,19,Mexican Grand Prix,VET
21.777,2,2018,19,Mexican Grand Prix,VET
22.399,2,2018,19,Mexican Grand Prix,HAM
22.641,1,2018,20,Brazilian Grand Prix,HAM
22.551,1,2018,20,Brazilian Grand Prix,VET
22.683,2,2018,20,Brazilian Grand Prix,VET
21.283,1,2018,21,Abu Dhabi Grand Prix,HAM
22.63,1,2018,21,Abu Dhabi Grand Prix,VET
21.515,1,2019,1,Australian Grand Prix,HAM
22.014,1,2019,1,Australian Grand Prix,BOT
24.865,1,2019,2,Bahrain Grand Prix,BOT
24.255,1,2019,2,Bahrain Grand Prix,HAM
