points,year,round,code
18,2017,1,HAM
15,2017,1,BOT
43,2017,2,HAM
23,2017,2,BOT
61,2017,3,HAM
38,2017,3,BOT
73,2017,4,HAM
63,2017,4,BOT
98,2017,5,HAM
63,2017,5,BOT
104,2017,6,HAM
75,2017,6,BOT
129,2017,7,HAM
93,2017,7,BOT
139,2017,8,HAM
111,2017,8,BOT
151,2017,9,HAM
136,2017,9,BOT
176,2017,10,HAM
154,2017,10,BOT
188,2017,11,HAM
169,2017,11,BOT
213,2017,12,HAM
179,2017,12,BOT
238,2017,13,HAM
197,2017,13,BOT
263,2017,14,HAM
212,2017,14,BOT
281,2017,15,HAM
222,2017,15,BOT
306,2017,16,HAM
234,2017,16,BOT
331,2017,17,HAM
244,2017,17,BOT
333,2017,18,HAM
262,2017,18,BOT
345,2017,19,HAM
280,2017,19,BOT
363,2017,20,HAM
305,2017,20,BOT
18,2018,1,HAM
4,2018,1,BOT
33,2018,2,HAM
22,2018,2,BOT
45,2018,3,HAM
40,2018,3,BOT
70,2018,4,HAM
40,2018,4,BOT
95,2018,5,HAM
58,2018,5,BOT
110,2018,6,HAM
68,2018,6,BOT
120,2018,7,HAM
86,2018,7,BOT
145,2018,8,HAM
92,2018,8,BOT
145,2018,9,HAM
92,2018,9,BOT
163,2018,10,HAM
104,2018,10,BOT
188,2018,11,HAM
122,2018,11,BOT
213,2018,12,HAM
132,2018,12,BOT
231,2018,13,HAM
144,2018,13,BOT
256,2018,14,HAM
159,2018,14,BOT
281,2018,15,HAM
171,2018,15,BOT
306,2018,16,HAM
189,2018,16,BOT
331,2018,17,HAM
207,2018,17,BOT
346,2018,18,HAM
217,2018,18,BOT
358,2018,19,HAM
227,2018,19,BOT
383,2018,20,HAM
237,2018,20,BOT
408,2018,21,HAM
247,2018,21,BOT
18,2019,1,HAM
26,2019,1,BOT
43,2019,2,HAM
44,2019,2,BOT
68,2019,3,HAM
62,2019,3,BOT
86,2019,4,HAM
87,2019,4,BOT
112,2019,5,HAM
105,2019,5,BOT
137,2019,6,HAM
120,2019,6,BOT
162,2019,7,HAM
133,2019,7,BOT
187,2019,8,HAM
151,2019,8,BOT
197,2019,9,HAM
166,2019,9,BOT
223,2019,10,HAM
184,2019,10,BOT
225,2019,11,HAM
184,2019,11,BOT
250,2019,12,HAM
188,2019,12,BOT
268,2019,13,HAM
203,2019,13,BOT
284,2019,14,HAM
221,2019,14,BOT
296,2019,15,HAM
231,2019,15,BOT
322,2019,16,HAM
249,2019,16,BOT
338,2019,17,HAM
274,2019,17,BOT
363,2019,18,HAM
289,2019,18,BOT
381,2019,19,HAM
314,2019,19,BOT
387,2019,20,HAM
314,2019,20,BOT
413,2019,21,HAM
326,2019,21,BOT
12,2020,1,HAM
25,2020,1,BOT
37,2020,2,HAM
43,2020,2,BOT
63,2020,3,HAM
58,2020,3,BOT
88,2020,4,HAM
58,2020,4,BOT
107,2020,5,HAM
73,2020,5,BOT
132,2020,6,HAM
89,2020,6,BOT
157,2020,7,HAM
107,2020,7,BOT
164,2020,8,HAM
117,2020,8,BOT
190,2020,9,HAM
135,2020,9,BOT
205,2020,10,HAM
161,2020,10,BOT
230,2020,11,HAM
161,2020,11,BOT
256,2020,12,HAM
179,2020,12,BOT
282,2020,13,HAM
197,2020,13,BOT
307,2020,14,HAM
197,2020,14,BOT
332,2020,15,HAM
201,2020,15,BOT
332,2020,16,HAM
205,2020,16,BOT
347,2020,17,HAM
223,2020,17,BOT
44,2021,2,HAM
16,2021,2,BOT
25,2021,1,HAM
16,2021,1,BOT
343.5,2021,20,HAM
203,2021,20,BOT
69,2021,3,HAM
32,2021,3,BOT
94,2021,4,HAM
47,2021,4,BOT
101,2021,5,HAM
47,2021,5,BOT
101,2021,6,HAM
47,2021,6,BOT
138,2021,8,HAM
74,2021,8,BOT
119,2021,7,HAM
59,2021,7,BOT
150,2021,9,HAM
92,2021,9,BOT
177,2021,10,HAM
108,2021,10,BOT
195,2021,11,HAM
108,2021,11,BOT
202.5,2021,12,HAM
108,2021,12,BOT
221.5,2021,13,HAM
123,2021,13,BOT
221.5,2021,14,HAM
141,2021,14,BOT
246.5,2021,15,HAM
151,2021,15,BOT
256.5,2021,16,HAM
177,2021,16,BOT
275.5,2021,17,HAM
185,2021,17,BOT
293.5,2021,18,HAM
185,2021,18,BOT
318.5,2021,19,HAM
203,2021,19,BOT
369.5,2021,21,HAM
218,2021,21,BOT
387.5,2021,22,HAM
226,2021,22,BOT
