race_name,circuit_name,year,BOT,HAM
70th Anniversary Grand Prix,Silverstone Circuit,2020,92331.23076923077,92179.21153846152
Abu Dhabi Grand Prix,Yas Marina Circuit,2017,102801.12727272727,102872.0181818182
Abu Dhabi Grand Prix,Yas Marina Circuit,2018,109606.16363636364,108734.2181818182
Abu Dhabi Grand Prix,Yas Marina Circuit,2019,103456.25454545456,102649.36363636365
Abu Dhabi Grand Prix,Yas Marina Circuit,2020,105538.56363636364,105582.90909090907
Abu Dhabi Grand Prix,Yas Marina Circuit,2021,93531.1724137931,93441.39655172414
Australian Grand Prix,Albert Park Grand Prix Circuit,2017,88823.19298245614,88800.82456140351
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,93234.86206896552,92729.63793103448
Australian Grand Prix,Albert Park Grand Prix Circuit,2019,88402.1551724138,88762.25862068965
Austrian Grand Prix,Red Bull Ring,2017,69134.12676056338,69238.77464788733
Austrian Grand Prix,Red Bull Ring,2019,69588.47887323944,69642.6338028169
Austrian Grand Prix,Red Bull Ring,2020,76841.39436619719,76851.0985915493
Austrian Grand Prix,Red Bull Ring,2021,71162.19718309859,71563.30985915494
Azerbaijan Grand Prix,Baku City Circuit,2017,145872.0980392157,145916.88235294115
Azerbaijan Grand Prix,Baku City Circuit,2018,,122044.92156862744
Azerbaijan Grand Prix,Baku City Circuit,2019,108096.90196078432,108126.7843137255
Azerbaijan Grand Prix,Baku City Circuit,2021,157405.3725490196,157530.9411764706
Bahrain Grand Prix,Bahrain International Circuit,2017,99188.9649122807,98947.9649122807
Bahrain Grand Prix,Bahrain International Circuit,2018,96888.40350877192,96990.38596491228
Bahrain Grand Prix,Bahrain International Circuit,2019,99373.24561403508,99320.9649122807
Bahrain Grand Prix,Bahrain International Circuit,2020,126442.01754385963,126096.75438596492
Bahrain Grand Prix,Bahrain International Circuit,2021,99308.57142857143,98641.01785714286
Belgian Grand Prix,Circuit de Spa-Francorchamps,2017,115892.63636363635,115518.63636363635
Belgian Grand Prix,Circuit de Spa-Francorchamps,2018,115410.93181818182,114216.75
Belgian Grand Prix,Circuit de Spa-Francorchamps,2019,114506.70454545454,114242.97727272728
