race_name,circuit_name,year,code,milliseconds
70th Anniversary Grand Prix,Silverstone Circuit,2020,BOT,92331.23076923077
70th Anniversary Grand Prix,Silverstone Circuit,2020,HAM,92179.21153846153
Abu Dhabi Grand Prix,Yas Marina Circuit,2017,BOT,102801.12727272727
Abu Dhabi Grand Prix,Yas Marina Circuit,2017,HAM,102872.01818181819
Abu Dhabi Grand Prix,Yas Marina Circuit,2018,BOT,109606.16363636364
Abu Dhabi Grand Prix,Yas Marina Circuit,2018,HAM,108734.21818181819
Abu Dhabi Grand Prix,Yas Marina Circuit,2019,BOT,103456.25454545455
Abu Dhabi Grand Prix,Yas Marina Circuit,2019,HAM,102649.36363636363
Abu Dhabi Grand Prix,Yas Marina Circuit,2020,BOT,105538.56363636363
Abu Dhabi Grand Prix,Yas Marina Circuit,2020,HAM,105582.90909090909
Abu Dhabi Grand Prix,Yas Marina Circuit,2021,BOT,93531.1724137931
Abu Dhabi Grand Prix,Yas Marina Circuit,2021,HAM,93441.39655172414
Australian Grand Prix,Albert Park Grand Prix Circuit,2017,BOT,88823.19298245614
Australian Grand Prix,Albert Park Grand Prix Circuit,2017,HAM,88800.82456140351
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,BOT,93234.86206896552
Australian Grand Prix,Albert Park Grand Prix Circuit,2018,HAM,92729.63793103448
Australian Grand Prix,Albert Park Grand Prix Circuit,2019,BOT,88402.1551724138
Australian Grand Prix,Albert Park Grand Prix Circuit,2019,HAM,88762.25862068965
Austrian Grand Prix,Red Bull Ring,2017,BOT,69134.12676056338
Austrian Grand Prix,Red Bull Ring,2017,HAM,69238.77464788733
Austrian Grand Prix,Red Bull Ring,2019,BOT,69588.47887323944
Austrian Grand Prix,Red Bull Ring,2019,HAM,69642.6338028169
Austrian Grand Prix,Red Bull Ring,2020,BOT,76841.39436619719
Austrian Grand Prix,Red Bull Ring,2020,HAM,76851.0985915493
Austrian Grand Prix,Red Bull Ring,2021,BOT,71162.19718309859
Austrian Grand Prix,Red Bull Ring,2021,HAM,71563.30985915494
Azerbaijan Grand Prix,Baku City Circuit,2017,BOT,145872.0980392157
Azerbaijan Grand Prix,Baku City Circuit,2017,HAM,145916.88235294117
Azerbaijan Grand Prix,Baku City Circuit,2018,HAM,122044.92156862745
Azerbaijan Grand Prix,Baku City Circuit,2019,BOT,108096.90196078431
Azerbaijan Grand Prix,Baku City Circuit,2019,HAM,108126.7843137255
Azerbaijan Grand Prix,Baku City Circuit,2021,BOT,157405.3725490196
Azerbaijan Grand Prix,Baku City Circuit,2021,HAM,157530.9411764706
Bahrain Grand Prix,Bahrain International Circuit,2017,BOT,99188.9649122807
Bahrain Grand Prix,Bahrain International Circuit,2017,HAM,98947.9649122807
Bahrain Grand Prix,Bahrain International Circuit,2018,BOT,96888.40350877192
Bahrain Grand Prix,Bahrain International Circuit,2018,HAM,96990.38596491228
Bahrain Grand Prix,Bahrain International Circuit,2019,BOT,99373.24561403508
Bahrain Grand Prix,Bahrain International Circuit,2019,HAM,99320.9649122807
Bahrain Grand Prix,Bahrain International Circuit,2020,BOT,126442.01754385965
Bahrain Grand Prix,Bahrain International Circuit,2020,HAM,126096.75438596492
Bahrain Grand Prix,Bahrain International Circuit,2021,BOT,99308.57142857143
Bahrain Grand Prix,Bahrain International Circuit,2021,HAM,98641.01785714286
Belgian Grand Prix,Circuit de Spa-Francorchamps,2017,BOT,115892.63636363637
Belgian Grand Prix,Circuit de Spa-Francorchamps,2017,HAM,115518.63636363637
Belgian Grand Prix,Circuit de Spa-Francorchamps,2018,BOT,115410.93181818182
Belgian Grand Prix,Circuit de Spa-Francorchamps,2018,HAM,114216.75
Belgian Grand Prix,Circuit de Spa-Francorchamps,2019,BOT,114506.70454545454
Belgian Grand Prix,Circuit de Spa-Francorchamps,2019,HAM,114242.97727272728
Belgian Grand Prix,Circuit de Spa-Francorchamps,2020,BOT,114936.56818181818
Belgian Grand Prix,Circuit de Spa-Francorchamps,2020,HAM,114744.56818181818
Belgian Grand Prix,Circuit de Spa-Francorchamps,2021,BOT,229485.0
Belgian Grand Prix,Circuit de Spa-Francorchamps,2021,HAM,209672.0
Brazilian Grand Prix,Autódromo José Carlos Pace,2017,BOT,77310.19718309859
Brazilian Grand Prix,Autódromo José Carlos Pace,2017,HAM,77348.30985915494
Brazilian Grand Prix,Autódromo José Carlos Pace,2018,BOT,73971.95774647887
Brazilian Grand Prix,Autódromo José Carlos Pace,2018,HAM,73648.81690140846
Brazilian Grand Prix,Autódromo José Carlos Pace,2019,HAM,78884.74647887323
British Grand Prix,Silverstone Circuit,2017,BOT,96107.70588235294
British Grand Prix,Silverstone Circuit,2017,HAM,95831.96078431372
British Grand Prix,Silverstone Circuit,2018,BOT,101128.21153846153
British Grand Prix,Silverstone Circuit,2018,HAM,101000.92307692308
British Grand Prix,Silverstone Circuit,2019,BOT,94103.46153846153
British Grand Prix,Silverstone Circuit,2019,HAM,93624.07692307692
British Grand Prix,Silverstone Circuit,2020,BOT,102374.03846153847
British Grand Prix,Silverstone Circuit,2020,HAM,101563.13461538461
British Grand Prix,Silverstone Circuit,2021,BOT,136815.5576923077
British Grand Prix,Silverstone Circuit,2021,HAM,136601.61538461538
Canadian Grand Prix,Circuit Gilles Villeneuve,2017,BOT,80070.52857142857
Canadian Grand Prix,Circuit Gilles Villeneuve,2017,HAM,79787.91428571429
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,BOT,78216.95588235294
Canadian Grand Prix,Circuit Gilles Villeneuve,2018,HAM,78425.5294117647
Canadian Grand Prix,Circuit Gilles Villeneuve,2019,BOT,77116.1
Canadian Grand Prix,Circuit Gilles Villeneuve,2019,HAM,76386.91428571429
Chinese Grand Prix,Shanghai International Circuit,2017,BOT,105445.82142857143
Chinese Grand Prix,Shanghai International Circuit,2017,HAM,104574.25
Chinese Grand Prix,Shanghai International Circuit,2018,BOT,102594.17857142857
Chinese Grand Prix,Shanghai International Circuit,2018,HAM,102738.66071428571
Chinese Grand Prix,Shanghai International Circuit,2019,BOT,98801.82142857143
Chinese Grand Prix,Shanghai International Circuit,2019,HAM,98684.82142857143
Dutch Grand Prix,Circuit Park Zandvoort,2021,BOT,75859.09722222222
Dutch Grand Prix,Circuit Park Zandvoort,2021,HAM,75365.65277777778
Eifel Grand Prix,Nürburgring,2020,HAM,95827.35
Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,2020,BOT,84416.07936507936
Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,2020,HAM,84324.28571428571
Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,2021,HAM,117088.85714285714
French Grand Prix,Circuit Paul Ricard,2018,BOT,103622.96226415095
