round,year,code,milliseconds
1,2017,BOT,88823.19298245614
1,2017,HAM,88800.82456140351
1,2018,BOT,93234.86206896552
1,2018,HAM,92729.63793103448
1,2019,BOT,88402.1551724138
1,2019,HAM,88762.25862068965
1,2020,BOT,76841.39436619719
1,2020,HAM,76851.0985915493
1,2021,BOT,99308.57142857143
1,2021,HAM,98641.01785714286
2,2017,BOT,105445.82142857143
2,2017,HAM,104574.25
2,2018,BOT,96888.40350877192
2,2018,HAM,96990.38596491228
2,2019,BOT,99373.24561403508
2,2019,HAM,99320.9649122807
2,2020,BOT,70202.84507042254
2,2020,HAM,70009.61971830986
2,2021,HAM,117088.85714285714
3,2017,BOT,99188.9649122807
3,2017,HAM,98947.9649122807
3,2018,BOT,102594.17857142857
3,2018,HAM,102738.66071428571
3,2019,BOT,98801.82142857143
3,2019,HAM,98684.82142857143
3,2020,BOT,82598.92857142857
3,2020,HAM,82463.9
3,2021,BOT,86438.65151515152
3,2021,HAM,85930.62121212122
4,2017,BOT,101706.59615384616
4,2017,HAM,102405.05769230769
4,2018,HAM,122044.92156862745
4,2019,BOT,108096.90196078431
4,2019,HAM,108126.7843137255
4,2020,BOT,102374.03846153847
4,2020,HAM,101563.13461538461
4,2021,BOT,85065.0
4,2021,HAM,84661.81818181818
5,2017,HAM,87219.65151515152
5,2018,BOT,87129.77272727272
5,2018,HAM,86817.75757575757
5,2019,BOT,87189.65151515152
5,2019,HAM,87127.92424242424
5,2020,BOT,92331.23076923077
5,2020,HAM,92179.21153846153
5,2021,HAM,76987.83333333333
6,2017,BOT,80639.19230769231
6,2017,HAM,80771.03846153847
6,2018,BOT,79405.5
6,2018,HAM,79382.30769230769
6,2019,BOT,79635.88461538461
6,2019,HAM,79595.34615384616
6,2020,BOT,84091.37878787878
6,2020,HAM,83413.31818181818
6,2021,BOT,157405.3725490196
6,2021,HAM,157530.9411764706
7,2017,BOT,80070.52857142857
7,2017,HAM,79787.91428571429
7,2018,BOT,78216.95588235294
7,2018,HAM,78425.5294117647
7,2019,BOT,77116.1
7,2019,HAM,76386.91428571429
7,2020,BOT,114936.56818181818
7,2020,HAM,114744.56818181818
7,2021,BOT,99252.60377358491
7,2021,HAM,99031.58490566038
8,2017,BOT,145872.0980392157
8,2017,HAM,145916.88235294117
8,2018,BOT,103622.96226415095
8,2018,HAM,102101.60377358491
8,2019,BOT,96023.6603773585
8,2019,HAM,95682.98113207547
8,2020,BOT,121380.45283018867
8,2020,HAM,121571.71698113208
8,2021,BOT,70222.98591549296
8,2021,HAM,70065.74647887323
9,2017,BOT,69134.12676056338
9,2017,HAM,69238.77464788733
9,2019,BOT,69588.47887323944
9,2019,HAM,69642.6338028169
9,2020,BOT,142032.88135593222
9,2020,HAM,141950.16949152542
9,2021,BOT,71162.19718309859
